NTA_Name,NTA_Code,TotalPop,Hispanic,WhiteNonHisp,BlackNonHisp,AsianPI,OtherRace,Poverty,EduLessThanHS,PrematureMortality,PretermBirths,SMM,HIV,HepB,HepC,TB
College Point,QN23,25113,36.7,27.5,1.7,31.9,2.4,12.9,21.1,158.5,7.3,96.3,11.8,150.5,66.3,10.6
Corona,QN25,57150,59.6,8.3,17.6,13.7,0.8,23.9,33.8,118.6,8.2,188.8,22.6,112.6,55.7,16.9
North Corona,QN26,53290,86.9,1,4.2,7.2,0.7,25.2,46.6,99.9,7.4,207.5,22.7,65.9,56.6,20.6
East Elmhurst,QN27,22716,62.4,4.9,24.4,6.9,1.4,20.6,25,144,7.2,266.5,34.5,42.3,75.1,10.3
Jackson Heights,QN28,105083,55.3,16.1,1.8,24,2.8,18.4,23.6,102.8,7.4,216.8,47.6,73.4,55.3,15.5
Elmhurst,QN29,87373,44.3,6.3,1.4,45.9,2.1,20.5,30.6,88.9,7.2,229.6,15.5,220.8,46.8,29
Maspeth,QN30,26608,28.2,57.5,1,12.2,1.1,12,15.7,156.7,7,162.4,17.7,104.5,59.7,6.3
Hunters Point-Sunnyside-West Maspeth,QN31,63936,33.1,37.6,2.1,25,2.2,14.2,16.3,115.8,7.6,157.6,25.4,73.5,88.3,14.1
Cambria Heights,QN33,19688,3.9,1.6,91.1,1.3,2,4.8,10.1,96,13.2,240,19.8,32.8,20.1,1.7
Queens Village,QN34,56705,17.6,6.2,49.3,17,10,10.8,17.1,110.4,11.1,261,25.6,56.2,48.2,9.4
Briarwood-Jamaica Hills,QN35,40027,25.8,19.4,10.8,38.6,5.6,15.8,15.8,116.3,9.3,184.2,17.4,85.1,55.5,13.3
Kew Gardens Hills,QN37,38081,12.3,52.1,7.2,24.3,4,13.8,12.2,113,8,136.6,7.8,103.7,64.4,4.4
Pomonok-Flushing Heights-Hillcrest,QN38,33925,21.8,34.8,10.6,30.5,2.3,20.5,14.2,112.3,8.5,184.9,14.4,112.5,50.1,4.9
Fresh Meadows-Utopia,QN41,18074,13.2,31.9,3.6,48.5,2.7,12.9,12.3,99.1,5.7,183,0,128.2,32.8,7.4
Oakland Gardens,QN42,28103,7.6,40.9,1.9,46,3.6,9.3,8.8,84.4,9.4,NA,0,119.7,46.7,7.1
Bellerose,QN43,26609,19.8,30.6,5.7,39.8,4.1,10.5,12.8,91.9,9.2,161.3,3.8,40,68.9,8.8
Glen Oaks-Floral Park-New Hyde Park,QN44,22327,8.1,49.1,4.3,34.6,3.8,7.5,9.3,103.3,10.3,189.3,4.4,21,29.4,4.5
Douglas Manor-Douglaston-Little Neck,QN45,25490,11.3,46.7,1.8,39.2,1,7.4,9.3,63.8,7.2,NA,3.9,85.5,38.1,5.2
Bayside-Bayside Hills,QN46,46667,14.9,41.5,1.7,38.6,3.2,7.3,11.5,72.5,6.6,150.7,2.1,83.8,48.9,2.1
Ft. Totten-Bay Terrace-Clearview,QN47,22060,8.5,67.7,0.4,20.9,2.5,7.2,8.8,92.7,7.3,NA,0,50.3,38.9,3
Auburndale,QN48,20999,10.8,41.9,1,44.1,2.1,8,15.5,93.1,6.9,195.2,4.7,126.4,26.5,4.8
Whitestone,QN49,31948,16.2,64.1,0.5,17,2.2,6.6,13.6,107,9.3,162.8,6.3,61.1,48.5,6.3
Elmhurst-Maspeth,QN50,26340,28.4,14.9,0.8,54.7,1.4,14.1,23.8,87.9,7.9,176,22.1,218.8,56,27.8
Murray Hill,QN51,51994,14,26.5,1.7,55.7,2,15.6,20.8,103.3,7,122.3,5.5,260.7,66.1,15.4
East Flushing,QN52,27012,16,17.7,1.1,62.5,2.7,14.8,21.9,94.9,7.8,104.8,21.3,400.6,63.3,17.3
Woodhaven,QN53,61278,53.1,15.2,4.8,23.9,3,15.6,23.5,126.2,8.4,244.1,15.1,61.3,59.1,8.7
Richmond Hill,QN54,64049,35,11.1,8.5,30.8,14.5,16.2,26.3,132,9.9,253.7,16,53.8,85.3,10.9
South Ozone Park,QN55,83286,20.8,5.9,22.9,24,26.5,14.1,25.4,127.9,10.8,258.7,15.7,38.6,62.7,4.8
Ozone Park,QN56,22856,39.7,25.5,6.1,23.7,5.1,16.1,21.3,128.5,8.3,183.4,4.5,51.6,84.2,8.8
Lindenwood-Howard Beach,QN57,28742,19.6,73.2,2.2,2.8,2.2,8.9,14.1,133,11,298.3,3.6,20.1,77.9,1.2
Kew Gardens,QN60,23145,25.1,47.5,6.9,17.9,2.7,11.8,10.6,105.1,8.9,186,29.8,65.4,73.8,4.3
Jamaica,QN61,54198,36.9,3.8,18.6,30.2,10.6,24.5,32.4,145,9.7,345.7,32.1,85.5,148.7,11.7
Queensboro Hill,QN62,21727,17.9,15.3,1.8,62.2,2.8,15.1,26.7,101.8,5.8,129.9,0,542.3,46.5,23
Woodside,QN63,45804,36,22.3,1.3,38.2,2,14.8,22.4,95.2,8.1,218.1,25.6,128.8,49.7,18.9
Laurelton,QN66,26847,4.4,1.2,90.6,1.1,2.7,5.5,12.6,87.4,11.2,263.4,22.3,33.7,30.7,3.7
Queensbridge-Ravenswood-Long Island City,QN68,18393,39.1,16.6,23.7,17.6,2.9,34,28.4,221.5,10.2,263.8,35.4,60.6,152.9,12.7
Astoria,QN70,77095,27.5,51.4,4.6,14,2.5,16.1,16.1,131.2,8.2,194.7,48.6,48.6,70.2,6.9
Old Astoria,QN71,29149,34.6,35.5,10.8,16.5,2.5,20.8,22,143.6,8.2,220.4,24.2,48.6,75,13.7
Steinway,QN72,47980,22.5,62.9,1.6,10.5,2.6,12.6,15,112.4,8,146,25,34.9,76.6,1.4
Baisley Park,QN76,37155,13.1,0.9,72.7,5,8.3,14.9,16.8,165.9,12.2,314.8,14,47.3,111.2,7.2
Airport,QN98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Queens unpopulated areas such as cemeteries and parks,QN99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Annadale-Huguenot-Prince's Bay-Eltingville,SI01,28853,6.3,89.5,0.5,3,0.7,7,8.9,141.7,8.4,142.6,3.5,29.7,69.9,NA
New Springville-Bloomfield-Travis,SI05,39594,12.8,63.9,5.6,16.4,1.3,8.3,10.5,144.4,8.7,139.7,2.5,27.4,51.2,2.5
Westerleigh,SI07,24357,15.6,71.7,2.6,7.6,2.5,7.6,7.8,154.9,9.3,173.1,0,23.7,50.7,NA
Grymes Hill-Clifton-Fox Hills,SI08,22484,28.8,27.7,29.4,10.8,3.2,20.9,19,189.9,8.5,206.8,26.3,115.1,69.8,13.3
Charleston-Richmond Valley-Tottenville,SI11,24574,12.4,80.7,1.8,4,1,5.5,8.7,119.9,9.8,143.2,NA,17.7,64.3,5.4
Mariner's Harbor-Arlington-Port Ivory-Graniteville,SI12,30042,36.9,23.4,29.4,8.7,1.5,21.1,17.3,186.7,10.6,238.3,16.1,49.3,97.7,2.2
Grasmere-Arrochar-Ft. Wadsworth,SI14,15394,13.9,65.4,5.9,13.2,1.6,12.2,14.1,179.3,8.1,117.1,19.1,44,78.1,8.7
West New Brighton-New Brighton-St. George,SI22,32841,31.5,25.1,35.4,3.8,4.1,27.7,16.4,267.4,10.3,210,38.6,48.6,109.5,7.1
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI24,31472,10.8,71.7,1.8,14.7,0.9,7.1,11.9,131.3,9.3,93.1,3.2,25.2,66.5,7.4
Oakwood-Oakwood Beach,SI25,21575,12.6,80.2,3,2.7,1.4,5.5,9.4,162.1,9.6,115.3,4.6,8.7,80.3,NA
Port Richmond,SI28,19229,31.3,43.2,17.4,5.3,2.9,23.2,13.8,233.3,12.1,170.7,45.7,31.7,74.9,6.9
Rossville-Woodrow,SI32,21050,7.8,86.4,0.4,4.8,0.7,12.7,8.5,124.1,8.8,113.1,4.8,22,79.2,NA
New Brighton-Silver Lake,SI35,18313,25,55.6,11.7,5.8,1.8,15.4,12.3,163.4,9.5,129.3,16.5,40.3,80.2,NA
Old Town-Dongan Hills-South Beach,SI36,25007,13.3,71.4,4.3,9.1,1.9,11.7,12.6,171.7,8.8,157.2,12,44,74.4,1.3
Stapleton-Rosebank,SI37,26596,30.4,37.9,19.3,10,2.5,19.8,19.4,274.7,9.5,199,22.3,50.5,117.6,2.5
New Dorp-Midland Beach,SI45,20461,11.8,79.3,1.2,7.3,0.4,6.4,8.5,170.2,11,208.2,4.8,52.8,62.1,1.6
Arden Heights,SI48,25602,11.9,79.6,1.4,6.3,0.9,5.3,8.9,140,9.4,123.4,0,12.4,42.5,3.9
Great Kills,SI54,44078,9.8,84,0.3,5.1,0.8,8,8.2,134.3,9.2,138.2,2.3,15,62.5,1.5
Staten Island unpopulated areas such as cemeteries and parks,SI99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
